iter	Passed	Remaining
729	1586	4888
730	1588	4887
731	1590	4885
732	1593	4883
733	1595	4881
734	1597	4879
735	1599	4878
736	1602	4876
737	1604	4874
738	1606	4872
739	1608	4869
740	1610	4867
741	1612	4864
742	1615	4862
743	1617	4860
744	1619	4858
745	1621	4856
746	1623	4853
747	1625	4851
748	1628	4849
749	1630	4849
750	1633	4846
751	1635	4844
752	1637	4842
753	1639	4840
754	1641	4838
755	1643	4835
756	1645	4832
757	1648	4833
758	1650	4830
759	1652	4827
760	1655	4826
761	1657	4823
762	1659	4821
763	1661	4818
764	1663	4816
765	1665	4814
766	1667	4812
767	1669	4809
768	1671	4807
769	1674	4805
770	1676	4802
771	1678	4800
772	1680	4797
773	1682	4795
774	1684	4793
775	1686	4790
776	1688	4788
777	1690	4785
778	1693	4783
779	1694	4780
780	1697	4778
781	1699	4775
782	1701	4773
783	1703	4771
784	1705	4768
785	1707	4765
786	1709	4763
787	1711	4760
788	1713	4758
789	1715	4755
790	1717	4753
791	1719	4750
792	1722	4749
793	1724	4746
794	1726	4743
795	1727	4740
796	1729	4737
797	1731	4734
798	1733	4731
799	1735	4728
800	1737	4726
801	1739	4724
802	1742	4722
803	1743	4719
804	1746	4718
805	1748	4715
806	1750	4713
807	1752	4710
808	1754	4708
809	1756	4705
810	1758	4703
811	1760	4700
812	1762	4698
813	1764	4695
814	1766	4691
815	1767	4688
816	1769	4685
817	1771	4682
818	1773	4680
819	1775	4678
820	1777	4675
821	1780	4673
822	1782	4671
823	1784	4668
824	1786	4666
825	1788	4663
826	1790	4660
827	1792	4657
828	1794	4655
829	1796	4652
830	1798	4650
831	1800	4648
832	1802	4645
833	1804	4642
834	1806	4640
835	1808	4638
836	1811	4636
837	1813	4635
838	1815	4632
839	1817	4630
840	1819	4627
841	1821	4625
842	1823	4622
843	1825	4620
844	1827	4617
845	1829	4615
846	1832	4613
847	1834	4611
848	1836	4609
849	1838	4607
850	1840	4604
851	1842	4602
852	1844	4599
853	1846	4596
854	1848	4593
855	1850	4591
856	1852	4588
857	1854	4586
858	1856	4584
859	1858	4581
860	1860	4578
861	1862	4575
862	1864	4573
863	1866	4570
864	1868	4567
865	1869	4564
866	1871	4562
867	1873	4559
868	1875	4556
869	1877	4553
870	1879	4550
871	1881	4548
872	1883	4545
873	1885	4542
874	1887	4540
875	1889	4538
876	1891	4535
877	1893	4532
878	1895	4529
879	1897	4526
880	1899	4524
881	1900	4521
882	1902	4519
883	1904	4516
884	1907	4514
885	1908	4511
886	1910	4509
887	1913	4507
888	1915	4504
889	1917	4501
890	1919	4499
891	1921	4497
892	1922	4493
893	1924	4491
894	1926	4488
895	1928	4486
896	1930	4483
897	1932	4480
898	1934	4478
899	1936	4475
900	1938	4472
901	1940	4470
902	1942	4467
903	1944	4465
904	1946	4462
905	1948	4459
906	1950	4457
907	1952	4455
908	1954	4452
909	1956	4450
910	1958	4448
911	1960	4446
912	1962	4444
913	1964	4441
914	1966	4438
915	1968	4436
916	1970	4433
917	1972	4431
918	1974	4428
919	1976	4425
920	1979	4424
921	1980	4421
922	1982	4419
923	1985	4417
924	1987	4414
925	1989	4412
926	1991	4410
927	1993	4408
928	1995	4405
929	1997	4402
930	1999	4400
931	2001	4397
932	2003	4396
933	2005	4393
934	2007	4391
935	2009	4389
936	2011	4386
937	2013	4384
938	2015	4381
939	2018	4379
940	2020	4377
941	2022	4374
942	2024	4372
943	2026	4370
944	2028	4368
945	2030	4366
946	2032	4364
947	2035	4362
948	2037	4359
949	2039	4358
950	2041	4355
951	2043	4353
952	2045	4351
953	2047	4348
954	2050	4346
955	2052	4344
956	2054	4342
957	2056	4340
958	2058	4338
959	2060	4335
960	2062	4333
961	2064	4330
962	2066	4328
963	2068	4326
964	2070	4323
965	2072	4321
966	2075	4319
967	2077	4317
968	2079	4315
969	2081	4312
970	2083	4310
971	2085	4307
972	2087	4305
973	2089	4302
974	2091	4300
975	2093	4298
976	2095	4296
977	2097	4293
978	2099	4291
979	2101	4289
980	2103	4286
981	2105	4283
982	2107	4281
983	2109	4279
984	2112	4277
985	2114	4275
986	2116	4273
987	2118	4270
988	2120	4268
989	2122	4266
990	2124	4263
991	2126	4262
992	2128	4260
993	2130	4257
994	2132	4255
995	2134	4252
